day count(*)
2014-04-12 8
2014-04-13 22
2014-04-14 1982
2014-04-15 1185
2014-04-16 1578
2014-04-17 1550
2014-04-18 327
2014-04-19 27
2014-04-20 27
2014-04-21 1063
2014-04-22 1789
2014-04-23 1027
2014-04-24 2434
2014-04-25 4594
2014-04-26 2068
2014-04-27 533
2014-04-28 2608
2014-04-29 2703
2014-04-30 1652
2014-05-01 1218
2014-05-02 888
2014-05-03 1296
2014-05-04 2522
2014-05-05 3190
2014-05-06 4221
2014-05-07 2770
2014-05-08 758
2014-05-09 232
2014-05-10 220
2014-05-11 1794
2014-05-12 1655
2014-05-13 2076
2014-05-14 2465
2014-05-15 2381
2014-05-16 1708
2014-05-17 315
2014-05-18 140
2014-05-19 4773
2014-05-20 1665
2014-05-21 1831
2014-05-22 4020
2014-05-23 448
2014-06-05 1879
2014-06-06 2969
2014-06-07 1782
2014-06-08 2699
2014-06-09 3206
2014-06-10 2619
2014-06-11 2066
2014-06-12 4482
2014-06-13 3431
2014-06-14 1357
2014-06-15 232
2014-06-16 2382
2014-06-17 2440
2014-06-18 2514
2014-06-19 2313
2014-06-20 1771
2014-06-21 2020
2014-06-22 1392
2014-06-23 2364
2014-06-24 2183
2014-06-25 2063
2014-06-26 2453
2014-06-27 2318
2014-06-28 1631
2014-06-29 4434
2014-06-30 2601
2014-07-01 9722
2014-07-02 2096
2014-07-03 2808
2014-07-04 2746
2014-07-05 845
2014-07-06 707
2014-07-07 2764
2014-07-08 2839
2014-07-09 2360
2014-07-10 2575
2014-07-11 6649
2014-07-12 2178
2014-07-13 1518
2014-07-14 2167
2014-07-15 2109
2014-07-16 1849
2014-07-17 1747
2014-07-18 2393
2014-07-19 5601
2014-07-20 1669
2014-07-21 1303
2014-07-22 2461
2014-07-23 2217
2014-07-24 991
2014-07-25 769
2014-07-26 458
2014-07-27 2078
2014-07-28 8065
2014-07-29 6307
2014-07-30 2091
2014-07-31 4585
2014-08-01 714
2014-08-02 190
2014-08-03 108
2014-08-04 18
2014-08-05 3
2014-08-06 3
2014-08-07 1
2014-08-09 6
2014-08-10 420
2014-08-11 8171
2014-08-12 7853
2014-08-13 5333
2014-08-14 1673
2014-08-15 2308
2014-08-16 1368
2014-08-17 3224
2014-08-18 2184
2014-08-19 2359
2014-08-20 6189
2014-08-21 2435
2014-08-22 2133
2014-08-23 5100
2014-08-24 3043
2014-08-25 2638
2014-08-26 2155
2014-08-27 8205
2014-08-28 2445
2014-08-29 2055
2014-08-30 1715
2014-08-31 1294
2014-09-01 1840
2014-09-02 3105
2014-09-03 1994
2014-09-04 2300
2014-09-05 2113
2014-09-06 1632
2014-09-07 1412
2014-09-08 1226
2014-09-09 2070
2014-09-10 2217
2014-09-11 1109
2014-09-12 1218
2014-09-13 1070
2014-09-14 1547
2014-09-15 2485
2014-09-16 7103
2014-09-17 2498
2014-09-18 2969
2014-09-19 1491
2014-09-20 898
2014-09-21 1391
2014-09-22 1443
2014-09-23 1102
2014-09-24 95
2014-09-25 689
2014-09-26 2130
2014-09-27 1328
2014-09-28 865
2014-09-29 1162
2014-09-30 704
2014-10-01 415
2014-10-02 450
2014-10-03 405
2014-10-04 458
2014-10-05 466
2014-10-06 479
2014-10-07 680
2014-10-08 2007
2014-10-09 3647
2014-10-10 4246
2014-10-11 6323
2014-10-12 1951
2014-10-13 2490
2014-10-14 1297
2014-10-15 2315
2014-10-16 7045
2014-10-17 7325
2014-10-18 4559
2014-10-19 11455
2014-10-20 7465
2014-10-21 1218
2014-10-22 2205
2014-10-23 6261
2014-10-24 7745
2014-10-25 8671
2014-10-26 16684
2014-10-27 13100
2014-10-28 12676
2014-10-29 6173
2014-10-30 11447
2014-10-31 3831
2014-11-01 3221
2014-11-02 202
2014-11-03 1792
2014-11-04 4063
2014-11-05 2463
2014-11-06 1249
2014-11-07 2447
2014-11-08 1211
2014-11-09 1320
2014-11-10 2775
2014-11-11 1811
2014-11-12 2584
2014-11-13 2090
2014-11-14 2206
2014-11-15 1317
2014-11-16 955
2014-11-17 1416
2014-11-18 1642
2014-11-19 3472
2014-11-20 6882
2014-11-21 6068
2014-11-22 6544
2014-11-23 8314
2014-11-24 10258
2014-11-25 16695
2014-11-26 7450
2014-11-27 5869
2014-11-28 3695
2014-11-29 5193
2014-11-30 2682
2014-12-01 3584
2014-12-02 2696
2014-12-03 2175
2014-12-04 2344
2014-12-05 2167
2014-12-06 1435
2014-12-07 2004
2014-12-08 1513
2014-12-09 2739
2014-12-10 3106
2014-12-11 2716
2014-12-12 2641
2014-12-13 972
2014-12-14 11828
2014-12-15 2474
2014-12-16 1826
2014-12-17 5661
2014-12-18 3221
2014-12-19 1992
2014-12-20 1413
2014-12-21 1625
2014-12-22 1432
2014-12-23 1672
2014-12-24 1899
2014-12-25 2224
2014-12-26 7538
2014-12-27 2293
2014-12-28 1046
2014-12-29 2341
2014-12-30 4410
2014-12-31 1496
2015-01-01 3065
2015-01-02 1095
2015-01-03 7411
2015-01-04 1225
2015-01-05 973
2015-01-06 1187
2015-01-07 1024
2015-01-08 923
2015-01-09 912
2015-01-10 939
2015-01-11 655
